200 mV/s,,,100 mV/s,,,50 mV/s,,,20 mV/s,
電圧,電流,,電圧,電流,,電圧,電流,,電圧,電流
0.393643379,7.27E-06,,0.297006369,-1.63E-05,,0.68181473,3.93E-05,,0.393064052,-4.65E-05
0.395711869,8.07E-06,,0.297779173,-1.61E-05,,0.686813414,4.18E-05,,0.394992143,-4.62E-05
0.397732437,8.09E-06,,0.298981339,-1.61E-05,,0.691781163,4.45E-05,,0.396882713,-4.60E-05
0.399808943,8.73E-06,,0.300093621,-1.57E-05,,0.696809113,4.74E-05,,0.39896068,-4.56E-05
0.401809603,8.91E-06,,0.300910264,-1.57E-05,,0.701787829,5.04E-05,,0.400980115,-4.54E-05
0.403563619,9.42E-06,,0.30195868,-1.54E-05,,0.706808746,5.37E-05,,0.402957469,-4.50E-05
0.405709296,9.59E-06,,0.302913934,-1.52E-05,,0.711803436,5.73E-05,,0.405003726,-4.48E-05
0.407850146,1.03E-05,,0.30403018,-1.49E-05,,0.716731131,6.11E-05,,0.406964839,-4.44E-05
0.409542888,1.03E-05,,0.305025846,-1.50E-05,,0.72179693,6.52E-05,,0.408944577,-4.42E-05
0.412029237,1.09E-05,,0.305906981,-1.47E-05,,0.726755142,6.97E-05,,0.410967201,-4.38E-05
0.413550138,1.10E-05,,0.306869417,-1.45E-05,,0.731807649,7.44E-05,,0.412992954,-4.36E-05
0.415777773,1.15E-05,,0.307906419,-1.43E-05,,0.736846149,7.94E-05,,0.415025324,-4.32E-05
0.417803764,1.15E-05,,0.308947027,-1.42E-05,,0.741912723,8.46E-05,,0.417014033,-4.30E-05
0.419562817,1.23E-05,,0.310045093,-1.38E-05,,0.746927977,9.02E-05,,0.419031084,-4.26E-05
0.421793252,1.26E-05,,0.310939252,-1.40E-05,,0.751961529,9.59E-05,,0.421012908,-4.24E-05
0.423508108,1.30E-05,,0.311911315,-1.35E-05,,0.756982744,0.000101673,,0.423086345,-4.21E-05
0.42591992,1.30E-05,,0.313104302,-1.34E-05,,0.76196152,0.000107684,,0.425019652,-4.18E-05
0.427559704,1.36E-05,,0.313901901,-1.32E-05,,0.763786972,0.000109894,,0.427007586,-4.15E-05
0.429630429,1.37E-05,,0.314854681,-1.32E-05,,0.763786972,0.000109894,,0.428981811,-4.13E-05
0.431761324,1.42E-05,,0.316114306,-1.29E-05,,0.763786972,0.000109894,,0.431125939,-4.10E-05
0.433696121,1.43E-05,,0.317101359,-1.29E-05,,0.782020271,0.000133568,,0.433027148,-4.07E-05
0.435804814,1.50E-05,,0.318046868,-1.24E-05,,0.787038147,0.000139679,,0.434997827,-4.04E-05
0.437838227,1.50E-05,,0.318743348,-1.24E-05,,0.792052865,0.000145779,,0.437005669,-4.01E-05
0.439458489,1.55E-05,,0.319783658,-1.21E-05,,0.797028065,0.000151832,,0.43895486,-3.98E-05
0.441704452,1.60E-05,,0.321022928,-1.21E-05,,0.80206579,0.000158138,,0.441011548,-3.96E-05
0.443837255,1.65E-05,,0.321896851,-1.16E-05,,0.807073474,0.00016429,,0.44297111,-3.92E-05
0.445927978,1.67E-05,,0.322846144,-1.15E-05,,0.812052071,0.000170506,,0.444961756,-3.91E-05
0.447550327,1.73E-05,,0.323822677,-1.14E-05,,0.817033231,0.00017665,,0.446997374,-3.87E-05
0.449915022,1.72E-05,,0.324965864,-1.13E-05,,0.822049558,0.000182836,,0.448962688,-3.85E-05
0.451878548,1.76E-05,,0.326050282,-1.11E-05,,0.827084363,0.000189159,,0.450997889,-3.82E-05
0.453624576,1.79E-05,,0.326866299,-1.08E-05,,0.83211869,0.000195301,,0.453031331,-3.79E-05
0.455489874,1.83E-05,,0.328133225,-1.07E-05,,0.837070882,0.000201494,,0.455036849,-3.76E-05
0.45774278,1.86E-05,,0.328854501,-1.07E-05,,0.842104912,0.000207692,,0.457001358,-3.74E-05
0.459583431,1.91E-05,,0.329807132,-1.05E-05,,0.847048879,0.000213849,,0.459045291,-3.70E-05
0.461551934,1.93E-05,,0.331078589,-1.02E-05,,0.852054536,0.000219928,,0.460979313,-3.68E-05
0.463583261,2.00E-05,,0.33200103,-1.01E-05,,0.857076824,0.000226045,,0.462982535,-3.64E-05
0.465866178,2.00E-05,,0.332685202,-1.01E-05,,0.86203301,0.000232036,,0.464975715,-3.62E-05
0.46768859,2.06E-05,,0.333907098,-9.61E-06,,0.867078245,0.000238096,,0.466975778,-3.59E-05
0.469721109,2.10E-05,,0.335196823,-9.55E-06,,0.872012794,0.000244048,,0.468925476,-3.56E-05
0.471768558,2.14E-05,,0.336125672,-9.44E-06,,0.877032399,0.000249921,,0.470953256,-3.53E-05
0.474034816,2.18E-05,,0.337012619,-9.41E-06,,0.882032156,0.000255753,,0.472994387,-3.50E-05
0.475757301,2.23E-05,,0.338087231,-9.05E-06,,0.887026012,0.000261618,,0.474992037,-3.47E-05
0.477679342,2.24E-05,,0.338994563,-9.11E-06,,0.892057657,0.000267408,,0.476985097,-3.45E-05
0.479880601,2.30E-05,,0.340018392,-8.72E-06,,0.897034645,0.000273074,,0.479034543,-3.41E-05
0.481717378,2.33E-05,,0.340927362,-8.84E-06,,0.901939332,0.000278641,,0.481013477,-3.39E-05
0.483670086,2.39E-05,,0.341789663,-8.53E-06,,0.906936228,0.000284143,,0.482981712,-3.36E-05
0.485603273,2.41E-05,,0.342779934,-8.54E-06,,0.911982536,0.000289634,,0.48499018,-3.33E-05
0.487833828,2.49E-05,,0.344037414,-8.15E-06,,0.916889966,0.00029491,,0.48702541,-3.29E-05
0.489850312,2.51E-05,,0.344889253,-8.21E-06,,0.921863616,0.000300121,,0.489020199,-3.27E-05
0.491924047,2.56E-05,,0.34606415,-7.85E-06,,0.926840067,0.000305297,,0.491023988,-3.23E-05
0.493747026,2.59E-05,,0.347208172,-7.74E-06,,0.931861341,0.000310459,,0.493030995,-3.21E-05
0.495642245,2.66E-05,,0.347845614,-7.70E-06,,0.936786592,0.000315393,,0.49502483,-3.17E-05
0.497871667,2.69E-05,,0.349132895,-7.46E-06,,0.94175756,0.000320592,,0.497029543,-3.15E-05
0.49988091,2.75E-05,,0.349800825,-7.33E-06,,0.94686836,0.00032632,,0.498954624,-3.11E-05
0.501427948,2.79E-05,,0.350994974,-7.40E-06,,0.951892078,0.000331166,,0.500987828,-3.08E-05
0.503604889,2.85E-05,,0.351907015,-6.88E-06,,0.956902087,0.000335471,,0.502996981,-3.05E-05
0.50578022,2.89E-05,,0.352974117,-7.02E-06,,0.961976111,0.000339933,,0.504961371,-3.02E-05
0.507776141,2.97E-05,,0.354093552,-6.58E-06,,0.966999114,0.000343911,,0.507012069,-2.99E-05
0.509608746,3.01E-05,,0.354874402,-6.57E-06,,0.972040653,0.000347355,,0.509010315,-2.96E-05
0.511793077,3.09E-05,,0.356194645,-6.29E-06,,0.977046132,0.000350359,,0.510974765,-2.92E-05
0.51388526,3.15E-05,,0.356910437,-6.24E-06,,0.981982112,0.000352905,,0.513061881,-2.88E-05
0.515447438,3.21E-05,,0.35774678,-6.12E-06,,0.98698473,0.000355467,,0.515048206,-2.85E-05
0.518048048,3.25E-05,,0.358966231,-6.06E-06,,0.991994023,0.000358124,,0.517052174,-2.81E-05
0.519776821,3.32E-05,,0.359820932,-5.73E-06,,0.997021496,0.000360545,,0.51903069,-2.78E-05
0.521889448,3.38E-05,,0.360893071,-5.73E-06,,1.002017736,0.000362564,,0.520991206,-2.75E-05
0.523587286,3.43E-05,,0.361771882,-5.59E-06,,1.007092834,0.000364249,,0.523058951,-2.71E-05
0.525953352,3.50E-05,,0.362743527,-5.40E-06,,1.012047887,0.000365523,,0.524999082,-2.68E-05
