電圧,電流
1.201093674,-0.000182825
1.199266076,-0.000184265
1.197236419,-0.000185488
1.195053935,-0.000186956
1.193198085,-0.000188166
1.191130877,-0.000188719
1.189072967,-0.000190464
1.187175274,-0.000191356
1.185270548,-0.000192585
1.183263183,-0.000193967
1.181168795,-0.000195621
1.179095149,-0.000195824
1.177120328,-0.000197658
1.1751827,-0.000198574
1.173079371,-0.000200516
1.17130816,-0.000201339
1.169201851,-0.000203155
1.167084694,-0.000204184
1.165117502,-0.000205209
1.163288236,-0.000206746
1.160811424,-0.000208019
1.159082294,-0.000209121
1.157250524,-0.000210445
1.155115008,-0.000211451
1.153157592,-0.000213645
1.15107286,-0.000214279
1.149214268,-0.000215835
1.147139311,-0.000216733
1.145205855,-0.000218481
1.143194079,-0.000219386
1.141286731,-0.000220055
1.139191508,-0.000222172
1.137125969,-0.000223736
1.135201216,-0.000224883
1.133238554,-0.000226324
1.131213427,-0.000228412
1.129190564,-0.00022904
1.127157569,-0.000230683
1.125100732,-0.000231716
1.123201013,-0.000232656
1.121243596,-0.00023458
1.11915195,-0.000235817
1.117273808,-0.000237548
1.115197301,-0.000239277
1.113156438,-0.000240267
1.111049533,-0.000242202
1.109218359,-0.000243834
1.106985211,-0.000244769
1.105391979,-0.00024627
1.103221297,-0.000247585
1.101139069,-0.000249597
1.09931457,-0.000250862
1.09715271,-0.000252537
1.095056653,-0.000254406
1.093215466,-0.000255467
1.091135502,-0.000256507
1.089284182,-0.000258591
1.08711493,-0.000260241
1.085104585,-0.000261574
1.083377004,-0.000262855
1.081189871,-0.000265225
1.079083681,-0.000266413
1.077214241,-0.000267769
1.075200438,-0.000269311
1.073194385,-0.000271046
1.071166992,-0.000272604
1.069139004,-0.000274392
1.067278385,-0.000275684
1.065183401,-0.000278065
1.06315434,-0.000279146
1.061179161,-0.000281313
1.059016824,-0.000282643
1.057169557,-0.000284273
1.055039763,-0.000286223
1.053091407,-0.000287844
1.05098331,-0.000288951
1.049129605,-0.000290928
1.047099471,-0.000292952
1.044987798,-0.000295212
1.043117523,-0.000295991
1.041210175,-0.000297872
1.039128065,-0.000299377
1.037111521,-0.000301631
1.035208344,-0.0003029
1.033245325,-0.000304786
1.031042099,-0.000307189
1.029230237,-0.000308889
1.027282834,-0.000310243
1.025205016,-0.000311917
1.0232445,-0.000315344
1.021032333,-0.00031622
1.01896739,-0.000317937
1.017025948,-0.000320576
1.014993429,-0.000322401
1.013263583,-0.000323401
1.011127114,-0.000325856
1.009042501,-0.00032772
1.007379413,-0.000329361
1.005178452,-0.000331396
1.003262877,-0.000333013
1.001241326,-0.000335201
0.99914664,-0.000338078
0.997183502,-0.000339867
0.995128274,-0.00034117
0.993129969,-0.00034333
0.99106729,-0.00034584
0.989309251,-0.000348303
0.987083435,-0.000349657
0.985113859,-0.000351978
0.982992113,-0.000354207
0.981250465,-0.000356211
0.979342937,-0.000358121
0.977085412,-0.000360432
0.975234509,-0.000362705
0.973088801,-0.000365063
0.971232712,-0.000366945
0.969361901,-0.000369486
0.967248797,-0.000371553
0.965040565,-0.000373946
0.963111162,-0.000375793
0.961086869,-0.000378842
0.959241927,-0.000380721
0.957063913,-0.000383263
0.955256999,-0.000385483
0.952992797,-0.000387757
0.951296151,-0.000390457
0.949236691,-0.0003925
0.9471066,-0.000394997
0.944967031,-0.000397647
0.943263412,-0.00039948
0.941039801,-0.000402164
0.939055979,-0.000404372
0.937169313,-0.000407539
0.935119748,-0.000410086
0.932944238,-0.000412653
0.931181073,-0.000414705
0.929011464,-0.000417497
0.927028239,-0.000420056
0.924926758,-0.000422945
0.923007667,-0.000425391
0.921066701,-0.000428093
0.91915369,-0.000430407
0.917058706,-0.000433166
