UV/Vis spectrum of ZnO thin film on Al2O3(0001),
,
Wavelength (nm),Absorbance (a.u.)
798.5,0.098
799,0.098
799.5,0.097
800,0.098
800.5,0.098
801,0.099
801.5,0.101
802,0.101
802.5,0.101
803,0.101
803.5,0.1
804,0.1
804.5,0.1
805,0.099
805.5,0.099
806,0.099
806.5,0.099
807,0.099
807.5,0.099
808,0.098
808.5,0.098
809,0.098
809.5,0.098
810,0.097
810.5,0.097
811,0.097
811.5,0.097
812,0.097
812.5,0.096
813,0.096
813.5,0.096
814,0.096
814.5,0.095
815,0.094
815.5,0.094
816,0.093
816.5,0.093
817,0.093
817.5,0.093
818,0.093
818.5,0.093
819,0.092
819.5,0.092
820,0.092
820.5,0.091
821,0.091
821.5,0.09
822,0.09
822.5,0.089
823,0.089
823.5,0.089
824,0.089
824.5,0.089
825,0.089
825.5,0.089
826,0.089
826.5,0.089
827,0.089
827.5,0.089
828,0.089
828.5,0.089
829,0.088
829.5,0.088
830,0.087
830.5,0.087
831,0.087
831.5,0.087
832,0.088
832.5,0.088
833,0.088
833.5,0.088
834,0.088
834.5,0.088
835,0.088
835.5,0.088
836,0.088
836.5,0.088
837,0.088
837.5,0.088
838,0.089
838.5,0.09
839,0.091
839.5,0.091
840,0.091
840.5,0.092
841,0.091
841.5,0.091
842,0.092
842.5,0.092
843,0.093
843.5,0.093
844,0.094
844.5,0.094
845,0.094
845.5,0.095
846,0.095
846.5,0.095
847,0.095
847.5,0.095
848,0.095
848.5,0.095
849,0.096
849.5,0.097
850,0.097
850.5,0.097
851,0.097
851.5,0.098
852,0.098
852.5,0.098
853,0.099
853.5,0.099
854,0.1
854.5,0.1
855,0.101
855.5,0.101
856,0.101
856.5,0.102
857,0.102
857.5,0.102
858,0.102
858.5,0.102
859,0.102
859.5,0.103
860,0.103
860.5,0.103
861,0.104
861.5,0.105
862,0.105
862.5,0.106
863,0.106
863.5,0.106
864,0.106
864.5,0.107
865,0.108
865.5,0.108
866,0.109
866.5,0.109
867,0.11
867.5,0.11
868,0.111
868.5,0.112
869,0.113
869.5,0.114
870,0.114
870.5,0.115
871,0.116
871.5,0.117
872,0.118
872.5,0.118
873,0.119
873.5,0.12
874,0.12
874.5,0.121
875,0.123
875.5,0.124
876,0.125
876.5,0.125
877,0.126
877.5,0.127
878,0.128
878.5,0.129
879,0.131
879.5,0.132
880,0.132
880.5,0.132
881,0.132
881.5,0.131
882,0.131
882.5,0.131
883,0.131
883.5,0.131
884,0.132
884.5,0.133
885,0.135
885.5,0.137
886,0.139
886.5,0.141
887,0.143
887.5,0.145
888,0.146
888.5,0.147
889,0.147
889.5,0.148
890,0.15
890.5,0.151
891,0.152
891.5,0.153
892,0.154
892.5,0.155
893,0.155
893.5,0.155
894,0.155
894.5,0.155
895,0.154
895.5,0.153
896,0.152
896.5,0.152
897,0.152
897.5,0.152
898,0.152
898.5,0.153
899,0.154
899.5,0.155
900,0.156
900.5,0.157
901,0.158
901.5,0.16
902,0.162
902.5,0.164
903,0.166
903.5,0.168
904,0.168
904.5,0.167
905,0.166
905.5,0.164
906,0.162
906.5,0.158
907,0.153
907.5,0.148
908,0.143
908.5,0.141
909,0.141
909.5,0.143
910,0.147
910.5,0.151
911,0.152
911.5,0.15
912,0.145
912.5,0.139
913,0.135
913.5,0.131
914,0.131
914.5,0.13
915,0.129
915.5,0.129
916,0.128
916.5,0.13
917,0.131
917.5,0.132
918,0.134
918.5,0.135
919,0.135
919.5,0.135
920,0.134
920.5,0.133
921,0.133
921.5,0.133
922,0.133
922.5,0.133
923,0.131
923.5,0.131
924,0.129
924.5,0.127
925,0.127
925.5,0.125
926,0.124
926.5,0.122
927,0.12
927.5,0.118
928,0.116
928.5,0.115
929,0.114
929.5,0.116
930,0.118
930.5,0.119
931,0.121
931.5,0.123
932,0.123
932.5,0.124
933,0.126
933.5,0.127
934,0.129
934.5,0.131
935,0.132
935.5,0.134
936,0.137
936.5,0.142
937,0.146
937.5,0.149
938,0.15
938.5,0.147
939,0.142
939.5,0.138
940,0.133
940.5,0.129
941,0.126
941.5,0.125
942,0.125
942.5,0.123
943,0.119
943.5,0.112
944,0.105
944.5,0.099
945,0.095
945.5,0.095
946,0.092
946.5,0.09
947,0.087
947.5,0.081
948,0.076
948.5,0.072
949,0.07
949.5,0.073
950,0.078
950.5,0.083
951,0.085
951.5,0.08
952,0.07
