
,t,E,I,assortment
,21.2,0.422907471656799,2.10438184440136E-5,A
,21.3,0.42498779296875,2.10259836167097E-5,A
,21.4,0.426913559436798,2.10038218647242E-5,A
,21.5,0.428972691297531,2.09864359349012E-5,A
,21.6,0.430985391139984,2.09699422121048E-5,A
,21.7,0.433022707700729,2.09512989968061E-5,A
,21.8,0.434942156076431,2.09306459873915E-5,A
,21.9,0.436917394399643,2.09080632776022E-5,A
,22.0,0.438955843448639,2.08947267383337E-5,A
,22.1,0.440867185592651,2.08701435476542E-5,A
,22.2,0.442968904972076,2.08611730486155E-5,A
,22.3,0.445008754730225,2.08464786410332E-5,A
,22.4,0.446944743394852,2.08244640380144E-5,A
,22.5,0.44893816113472,2.08074208348989E-5,A
,22.6,0.45097079873085,2.07956004887819E-5,A
,22.7,0.452938705682755,2.08118502050638E-5,A
,22.8,0.454921692609787,2.07769777625799E-5,A
,22.9,0.456978619098663,2.07457225769758E-5,A
,23.0,0.458995133638382,2.07351967692375E-5,A
,23.1,0.460933834314346,2.07224804908037E-5,A
,23.2,0.462847203016281,2.07024961709976E-5,A
,23.3,0.464989334344864,2.06991340965033E-5,A
,23.4,0.466964244842529,2.06838343292475E-5,A
,23.5,0.468944996595383,2.06688567996025E-5,A
,23.6,0.470871329307556,2.06538289785385E-5,A
,23.7,0.472976118326187,2.06444878131151E-5,A
,23.8,0.474970161914825,2.06371434032917E-5,A
,23.9,0.476913690567017,2.06210110336542E-5,A
,24.0,0.478925973176956,2.06136703491211E-5,A
,24.1,0.480949014425278,2.06051431596279E-5,A
,24.2,0.482966244220734,2.05940902233124E-5,A
,24.3,0.484925955533981,2.05838959664106E-5,A
,24.4,0.487009316682816,2.05807127058506E-5,A
,24.5,0.488954573869705,2.05679815262556E-5,A
,24.6,0.49094095826149,2.05560699105263E-5,A
,24.7,0.492941975593567,2.0550437271595E-5,A
,24.8,0.494958013296127,2.05475352704525E-5,A
,24.9,0.496931374073029,2.05381792038679E-5,A
,25.0,0.49901670217514,2.05364935100079E-5,A
,25.1,0.499713629484177,1.99626833200455E-5,C
,25.2,0.497521847486496,1.95464473217726E-5,C
