装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,450,nm
蛍光開始波長:,500,nm
蛍光終了波長:,800,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
735.6,191.4,
735.8,189.1,
736,187.4,
736.2,186.2,
736.4,185.2,
736.6,183.9,
736.8,182.7,
737,180.2,
737.2,178.7,
737.4,177.4,
737.6,176.2,
737.8,174.4,
738,173.1,
738.2,172.3,
738.4,170.5,
738.6,168.6,
738.8,167,
739,164.8,
739.2,163.1,
739.4,161.5,
739.6,161.1,
739.8,158.9,
740,157.8,
740.2,156.4,
740.4,154.6,
740.6,153.5,
740.8,152.9,
741,151.1,
741.2,149.1,
741.4,148.2,
741.6,146.4,
741.8,146,
742,144.6,
742.2,142.7,
742.4,141.3,
742.6,140.3,
742.8,139.2,
743,138.2,
743.2,136.7,
743.4,135.9,
743.6,134.9,
743.8,133.5,
744,131.6,
744.2,131.1,
744.4,130,
744.6,128.9,
744.8,127.7,
745,126.8,
745.2,125.9,
745.4,125,
745.6,124.2,
745.8,122.9,
746,121.6,
746.2,120.8,
746.4,119.8,
746.6,118.4,
746.8,117.4,
747,116.3,
747.2,115.5,
747.4,114.4,
747.6,114.2,
747.8,112.9,
748,112.1,
748.2,111.3,
748.4,110.6,
748.6,109.7,
748.8,108.2,
749,107.5,
749.2,106.3,
749.4,105.5,
749.6,104.5,
749.8,103.7,
750,102.9,
750.2,102.3,
750.4,101.8,
750.6,100.2,
750.8,99.18,
751,98.5,
751.2,97.94,
751.4,97.82,
751.6,97.82,
751.8,96.29,
752,95.35,
752.2,93.94,
752.4,92.88,
752.6,92.68,
752.8,91.72,
753,91.68,
753.2,91.38,
753.4,90.09,
753.6,89.42,
753.8,88.99,
754,88.49,
754.2,87.48,
754.4,87,
754.6,86.26,
754.8,85.94,
755,84.9,
755.2,84.7,
755.4,84.19,
755.6,82.84,
755.8,82.28,
756,82.62,
756.2,82.51,
756.4,81.26,
756.6,80.78,
756.8,80.08,
757,79.3,
757.2,78.3,
757.4,77.9,
757.6,77.57,
757.8,76.41,
758,75.79,
758.2,75.79,
758.4,75.19,
758.6,75.16,
758.8,75.56,
759,74.35,
759.2,73.88,
759.4,73.63,
759.6,73.04,
759.8,72.68,
760,71.92,
760.2,71.17,
760.4,70.36,
760.6,70.56,
760.8,69.55,
761,69.56,
761.2,69,
761.4,68.73,
761.6,69,
761.8,68.3,
762,67.86,
762.2,67.87,
762.4,67.28,
762.6,67.26,
762.8,66.71,
763,66.21,
763.2,65.54,
763.4,65.12,
763.6,64.73,
763.8,64.85,
764,64.84,
764.2,64.39,
764.4,64.18,
764.6,63.79,
764.8,63.5,
765,63.33,
765.2,63.25,
765.4,62.36,
765.6,62.04,
765.8,61.87,
766,61.31,
766.2,61,
766.4,60.24,
766.6,60.05,
766.8,59.75,
767,59.52,
767.2,59.06,
767.4,58.4,
767.6,58.28,
767.8,58.37,
768,58.31,
768.2,58.17,
768.4,57.91,
768.6,57.74,
768.8,57.7,
769,56.93,
769.2,56.62,
769.4,56.04,
769.6,55.45,
769.8,55.86,
770,55.96,
770.2,55.95,
770.4,55.18,
770.6,54.63,
770.8,54.19,
771,54.37,
771.2,54.5,
771.4,54.16,
771.6,54.22,
771.8,54.07,
772,54.49,
772.2,54.21,
772.4,53.32,
772.6,53.13,
772.8,52.68,
773,52.7,
773.2,52.3,
773.4,51.86,
773.6,51.88,
773.8,52.05,
774,51.51,
774.2,51.38,
774.4,51.02,
774.6,50.93,
774.8,50.51,
775,50.34,
775.2,50.64,
775.4,50.21,
775.6,50.24,
775.8,49.95,
776,49.71,
776.2,49.3,
776.4,49.23,
776.6,49.73,
776.8,49.64,
777,49.27,
777.2,48.27,
777.4,48.15,
777.6,47.82,
777.8,47.57,
778,47.82,
778.2,47.63,
778.4,47.94,
778.6,47.79,
778.8,47.79,
779,47.26,
779.2,46.69,
779.4,46.22,
779.6,45.85,
779.8,46.16,
780,46.3,
780.2,46.34,
780.4,45.9,
780.6,46.01,
780.8,45.7,
781,45.82,
781.2,45.92,
781.4,45.9,
781.6,45.73,
781.8,45.12,
782,45.05,
782.2,44.68,
782.4,44.39,
782.6,44.42,
782.8,44.65,
783,44.72,
783.2,44.2,
783.4,44.1,
783.6,44.22,
783.8,43.98,
784,44.06,
784.2,43.79,
784.4,43.72,
784.6,43.62,
784.8,43.44,
785,43.45,
785.2,43.29,
785.4,43.4,
785.6,43.79,
785.8,43.06,
786,43.28,
786.2,42.65,
786.4,42.76,
786.6,42.31,
786.8,41.99,
787,41.59,
787.2,41.56,
787.4,41.5,
787.6,41.73,
787.8,41.87,
788,42.41,
788.2,42.15,
788.4,41.88,
788.6,41.82,
788.8,42.09,
789,42.24,
789.2,42.16,
789.4,41.95,
789.6,41.91,
789.8,41.9,
790,42,
790.2,41.72,
790.4,41.76,
790.6,41.49,
790.8,41.19,
791,40.81,
791.2,40.5,
791.4,40.04,
791.6,40.02,
791.8,40.02,
792,40.1,
792.2,39.91,
792.4,40.21,
792.6,39.82,
792.8,39.78,
793,39.95,
793.2,39.92,
793.4,40.16,
793.6,39.99,
793.8,40.27,
794,40.13,
794.2,40.54,
794.4,41.16,
794.6,40.8,
794.8,40.5,
795,40.14,
795.2,39.54,
795.4,39.42,
795.6,39.75,
795.8,39.55,
796,39.63,
796.2,39.17,
796.4,39.31,
796.6,39.29,
796.8,39.18,
797,39.13,
797.2,39.14,
797.4,38.56,
797.6,38.33,
797.8,38.46,
798,38.3,
798.2,38.17,
798.4,37.97,
798.6,38.33,
798.8,38.19,
799,38.36,
799.2,38.32,
799.4,38.78,
799.6,38.96,
799.8,38.63,
800,38.6,
